PassengerId,Survived,Pclass,Embarked,Gender
1,0,Lower Class,Southampton,Male
2,1,Upper Class,Cherbourg,Female
3,1,Lower Class,Southampton,Female
4,1,Upper Class,Southampton,Female
5,0,Lower Class,Southampton,Male
6,0,Lower Class,Queenstown,Male
7,0,Upper Class,Southampton,Male
8,0,Lower Class,Southampton,Male
9,1,Lower Class,Southampton,Female
10,1,Middle Class,Cherbourg,Female
11,1,Lower Class,Southampton,Female
12,1,Upper Class,Southampton,Female
13,0,Lower Class,Southampton,Male
14,0,Lower Class,Southampton,Male
15,0,Lower Class,Southampton,Female
16,1,Middle Class,Southampton,Female
17,0,Lower Class,Queenstown,Male
18,1,Middle Class,Southampton,Male
19,0,Lower Class,Southampton,Female
20,1,Lower Class,Cherbourg,Female
21,0,Middle Class,Southampton,Male
22,1,Middle Class,Southampton,Male
23,1,Lower Class,Queenstown,Female
24,1,Upper Class,Southampton,Male
25,0,Lower Class,Southampton,Female
26,1,Lower Class,Southampton,Female
27,0,Lower Class,Cherbourg,Male
28,0,Upper Class,Southampton,Male
29,1,Lower Class,Queenstown,Female
30,0,Lower Class,Southampton,Male
31,0,Upper Class,Cherbourg,Male
32,1,Upper Class,Cherbourg,Female
33,1,Lower Class,Queenstown,Female
34,0,Middle Class,Southampton,Male
35,0,Upper Class,Cherbourg,Male
36,0,Upper Class,Southampton,Male
37,1,Lower Class,Cherbourg,Male
38,0,Lower Class,Southampton,Male
39,0,Lower Class,Southampton,Female
40,1,Lower Class,Cherbourg,Female
41,0,Lower Class,Southampton,Female
42,0,Middle Class,Southampton,Female
43,0,Lower Class,Cherbourg,Male
44,1,Middle Class,Cherbourg,Female
45,1,Lower Class,Queenstown,Female
46,0,Lower Class,Southampton,Male
47,0,Lower Class,Queenstown,Male
48,1,Lower Class,Queenstown,Female
49,0,Lower Class,Cherbourg,Male
50,0,Lower Class,Southampton,Female
51,0,Lower Class,Southampton,Male
52,0,Lower Class,Southampton,Male
53,1,Upper Class,Cherbourg,Female
54,1,Middle Class,Southampton,Female
55,0,Upper Class,Cherbourg,Male
56,1,Upper Class,Southampton,Male
57,1,Middle Class,Southampton,Female
58,0,Lower Class,Cherbourg,Male
59,1,Middle Class,Southampton,Female
60,0,Lower Class,Southampton,Male
61,0,Lower Class,Cherbourg,Male
62,1,Upper Class,,Female
63,0,Upper Class,Southampton,Male
64,0,Lower Class,Southampton,Male
65,0,Upper Class,Cherbourg,Male
66,1,Lower Class,Cherbourg,Male
67,1,Middle Class,Southampton,Female
68,0,Lower Class,Southampton,Male
69,1,Lower Class,Southampton,Female
70,0,Lower Class,Southampton,Male
71,0,Middle Class,Southampton,Male
72,0,Lower Class,Southampton,Female
73,0,Middle Class,Southampton,Male
74,0,Lower Class,Cherbourg,Male
75,1,Lower Class,Southampton,Male
76,0,Lower Class,Southampton,Male
77,0,Lower Class,Southampton,Male
78,0,Lower Class,Southampton,Male
79,1,Middle Class,Southampton,Male
80,1,Lower Class,Southampton,Female
81,0,Lower Class,Southampton,Male
82,1,Lower Class,Southampton,Male
83,1,Lower Class,Queenstown,Female
84,0,Upper Class,Southampton,Male
85,1,Middle Class,Southampton,Female
86,1,Lower Class,Southampton,Female
87,0,Lower Class,Southampton,Male
88,0,Lower Class,Southampton,Male
89,1,Upper Class,Southampton,Female
90,0,Lower Class,Southampton,Male
91,0,Lower Class,Southampton,Male
92,0,Lower Class,Southampton,Male
93,0,Upper Class,Southampton,Male
94,0,Lower Class,Southampton,Male
